ip,rtt,ttl
123.168.67.177,13,54
123.168.66.131,9,54
123.168.66.15,10,54
123.168.67.172,10,44
123.168.66.5,10,54
123.168.67.62,15,54
123.168.66.8,3,54
123.168.67.137,5,54
123.168.67.218,11,54
123.168.66.4,3,54
123.168.67.151,21,54
123.168.67.217,8,54
123.168.67.121,9,54
123.168.66.150,10,54
123.168.67.80,8,54
123.168.67.206,11,54
123.168.66.70,14,54
123.168.67.190,16,54
123.168.67.86,10,54
123.168.67.68,9,54
123.168.67.240,8,44
123.168.66.43,9,54
123.168.66.63,19,54
123.168.67.73,13,54
123.168.66.99,3,54
123.168.66.241,9,54
123.168.66.121,8,54
123.168.67.72,15,54
123.168.66.185,10,54
123.168.67.216,10,54
123.168.66.12,12,53
123.168.67.110,10,54
123.168.67.231,5,44
123.168.66.36,8,54
123.168.66.180,10,54
123.168.66.69,8,54
123.168.67.245,13,54
123.168.66.138,11,54
123.168.67.31,5,54
123.168.67.140,11,54
123.168.66.1,4,246
123.168.67.95,11,44
123.168.66.100,12,54
123.168.67.133,13,54
123.168.67.143,7,54
123.168.67.141,9,54
123.168.67.71,9,54
123.168.67.119,9,54
123.168.67.114,17,54
123.168.66.109,4,54
123.168.67.15,15,54
123.168.67.153,19,54
123.168.67.117,13,54
123.168.67.167,12,54
123.168.66.158,12,54
123.168.67.103,4,54
123.168.66.225,8,54
123.168.66.23,15,54
123.168.66.14,13,54
123.168.66.140,7,54
123.168.67.20,5,54
123.168.67.154,8,54
123.168.66.222,8,54
123.168.66.175,8,54
123.168.67.102,12,54
123.168.67.37,15,54
123.168.66.39,13,54
123.168.67.191,10,54
123.168.66.198,13,54
123.168.66.218,11,44
123.168.67.52,10,54
123.168.67.232,10,54
123.168.67.164,11,54
123.168.66.169,9,54
123.168.67.112,13,54
123.168.66.233,15,54
123.168.66.133,9,54
123.168.67.249,5,54
123.168.66.152,14,54
123.168.67.155,11,54
123.168.67.243,10,54
123.168.66.55,16,54
123.168.67.189,11,44
123.168.66.77,4,54
123.168.67.50,6,53
123.168.66.10,10,54
123.168.66.171,9,54
123.168.67.96,11,54
123.168.66.143,12,54
123.168.66.28,15,54
123.168.66.196,15,44
123.168.66.194,9,54
123.168.66.26,7,44
123.168.66.48,17,54
123.168.67.118,8,54
123.168.67.149,12,54
123.168.66.6,8,245
123.168.67.56,5,54
123.168.67.74,3,54
123.168.67.248,16,54
123.168.67.194,9,54
123.168.67.184,12,54
123.168.67.98,9,54
123.168.66.154,5,54
123.168.67.42,6,54
123.168.66.25,14,54
123.168.66.113,8,118
123.168.67.214,8,54
123.168.66.135,9,54
123.168.66.34,17,44
123.168.66.98,8,54
123.168.67.175,16,44
123.168.66.219,10,54
123.168.66.250,10,54
123.168.67.198,9,54
123.168.67.123,9,54
123.168.67.181,11,54
123.168.67.213,3,54
123.168.67.144,4,44
123.168.67.150,11,54
123.168.66.75,14,54
123.168.66.58,14,54
123.168.66.224,5,54
123.168.66.97,18,54
123.168.67.239,5,54
123.168.66.33,5,54
123.168.67.32,8,54
123.168.66.80,19,54
123.168.67.199,4,54
123.168.66.16,5,44
123.168.67.88,10,54
123.168.67.116,13,54
123.168.67.61,12,44
123.168.66.93,6,44
123.168.66.240,8,44
123.168.67.122,6,54
123.168.66.153,12,54
123.168.67.170,9,54
123.168.67.241,13,54
123.168.66.253,3,54
123.168.66.182,4,54
123.168.67.29,12,54
123.168.66.92,10,54
123.168.67.201,10,54
123.168.66.247,14,44
123.168.69.255,9,246
123.168.66.106,9,54
123.168.66.229,10,54
123.168.67.250,14,54
123.168.66.136,6,54
123.168.67.253,11,54
123.168.66.27,9,54
123.168.67.221,8,54
123.168.67.252,6,54
123.168.66.134,8,54
123.168.67.1,4,54
123.168.67.45,14,54
123.168.66.176,12,44
123.168.67.152,17,54
123.168.67.160,5,245
123.168.66.81,17,44
123.168.67.171,19,54
123.168.66.232,9,54
123.168.66.214,8,54
123.168.67.65,14,54
123.168.67.173,8,54
123.168.67.228,9,54
123.168.67.89,4,54
123.168.66.139,9,44
123.168.67.126,3,54
123.168.67.8,3,54
123.168.67.251,10,44
123.168.67.125,9,54
123.168.67.40,9,54
123.168.67.59,8,54
123.168.66.215,12,54
123.168.66.17,4,54
123.168.66.44,8,54
123.168.66.124,4,54
123.168.66.211,8,54
123.168.67.130,12,54
123.168.66.56,5,54
123.168.67.87,10,44
123.168.66.101,9,118
123.168.66.120,3,54
123.168.67.185,14,54
123.168.66.239,14,54
123.168.67.136,9,54
123.168.66.244,15,44
123.168.66.108,12,54
123.168.66.86,17,54
123.168.66.2,4,44
123.168.67.48,10,54
123.168.66.249,5,54
123.168.66.199,16,54
123.168.67.7,15,54
123.168.66.35,10,44
123.168.66.24,10,54
123.168.68.1,6,246
123.168.67.168,15,54
123.168.67.22,9,54
123.168.67.105,8,54
123.168.67.107,8,54
123.168.67.24,14,54
123.168.67.108,9,54
123.168.67.30,9,54
123.168.66.64,4,54
123.168.66.42,8,54
123.168.66.79,15,54
123.168.67.188,16,54
123.168.66.213,4,54
123.168.66.29,14,54
123.168.66.90,8,54
123.168.66.59,12,54
123.168.67.120,5,44
