城市,city,国家,country,longitude,latitude,Weihaidis,Londondis,Newarkdis,Weihaitime,Londontime,Newarktime
纽约,NewYork,美国,America,-74,40.42,163.91,286.06,0.1,244.52,88.84,10.58
费城,Philadelphia,美国,America,-75.1,39.57,162.79,284.99,1.31,231.12,87.82,144.36
巴尔的摩,Baltimore,美国,America,-76.61,39.29,161.28,283.49,2.75,253.33,79.48,12.05
华盛顿,Washington,美国,America,-77.02,38.53,160.86,283.12,3.48,50.51,117.92,52.09
圣迭戈,SanDiego,美国,America,-76.17,36.48,161.71,284.07,4.45,190.42,138.94,69.61
多伦多,Toronto,加拿大,Canada,-79.25,43.4,158.74,280.71,5.95,242.23,86.06,15.23
底特律,Detroit,美国,America,-83.2,42.19,154.75,276.8,9.27,258.75,117.79,94.46
亚特兰大,Atlanta,美国,America,-84.25,33.46,153.68,276.18,12.31,267.61,128.24,58.78
芝加哥,Chicago,美国,America,-87.37,41.52,150.56,272.66,13.32,237.84,90.37,27.14
迈阿密,Miami,美国,America,-80.2,25.47,158.14,280.84,16.15,243.03,89.75,22.83
圣路易斯,StLouis,美国,America,-90.19,38.62,147.69,269.96,16.19,245.95,113.65,42.98
堪萨斯城,KansasCity,美国,America,-94.35,39.06,143.54,265.78,20.3,237.81,104.19,32.42
蒙特利尔,Montreal,加拿大,Canada,-94.21,35.07,143.69,266.14,20.81,273.32,86.63,19.31
休斯顿,Houston,美国,America,-95.18,29.4,142.93,265.57,23.79,234.79,107.6,38.2
达拉斯,Dalas,美国,America,-96.8,32.78,141.16,263.7,23.95,224.62,109.79,40.58
丹佛,Denver,美国,America,-104.99,39.74,132.91,255.12,30.9,231.93,132.83,70.54
圣何塞,SanJose,哥斯达黎加,Costa Rica,-84.5,9.56,155.91,278.5,32.57,173.4,131.8,61.64
墨西哥城,mexicocity,墨西哥,Mexico,-99,19.3,140.07,262.81,32.65,252.9,158.22,114.02
波哥大,Bogota,哥伦比亚,Columbia,-74.05,4.38,167.15,289.63,36.04,316.68,157.07,89.52
菲尼克斯,Phoenix,美国,America,-112,33.3,125.95,248.5,38.56,224.14,129.85,61.42
拉斯维加斯,LasVegas,美国,America,-115.08,36.1,122.81,245.24,41.21,203.42,132.62,66.45
洛杉矶,LosAngeles,美国,America,-118.15,34.03,119.78,242.32,44.51,176.67,136.08,66.74
圣地亚哥,Santiago,美国,America,-117.9,32.42,120.09,242.69,44.52,274.53,197.27,121.45
旧金山,SanFrancisco,美国,America,-122.25,37.48,115.63,238,48.24,182.17,140.93,70.15
西雅图,Seattle,美国,America,-122.19,47.37,116.11,237.69,48.59,218.59,88.77,29.15
温哥华,Vancouver,加拿大,Canada,-123.06,49.13,115.41,236.8,49.73,234.59,78.52,69.3
利马,Lima,秘鲁,Peru,-77,-12,168.33,289.85,52.5,307,217.8,134.91
里斯本,Lisbon,葡萄牙,Portugal,-9.5,38.42,228.38,350.59,64.63,218.98,107.39,132.85
都柏林,Dublin,爱尔兰,Ireland,-6.26,53.34,232.16,353.6,69.06,194.92,34.03,62.82
圣保罗,SaoPaulo,巴西,Brazil,-46.38,-23.34,200.94,322.23,69.53,65.7,209.1,140.1
马德里,Madrid,西班牙,Spain,-4,40.5,233.9,356.01,70.1,189.71,36.74,103.82
里约热内卢,RiodeJaneiro,巴西,Brazil,-43.11,-22.54,203.82,325.23,70.17,335.18,199.05,135.33
爱丁堡,Edinburgh,英国,England,-3.2,55.95,235.4,356.68,72.58,248.89,20.02,106.61
波士顿,Boston,美国,America,-0.1,52.58,238.26,359.75,74.99,239.81,72.05,7.91
布宜诺斯艾利斯,BuenosAires,阿根廷,Argentina,-58.4,-34.6,193.43,313.45,76.65,232.06,199,168
伦敦,London,英国,England,0.15,51.3,122.75,0,75.04,243.96,17.82,97.47
巴塞罗那,Barcelona,西班牙,Spain,2.06,41.17,120.12,10.31,74.25,190.31,36.84,99.9
巴黎,Paris,法国,France,2.25,48.52,120.37,3.48,77.12,182.07,8.26,78.78
布鲁塞尔,Brussels,比利时,Belgium,4.21,50.51,118.62,4.14,79.06,194.02,18.27,89.68
鹿特丹,Rotterdam,荷兰,Holland,4.46,51.92,118.54,4.35,438.71,270.26,9.4,78.15
阿姆斯特丹,Amsterdam,荷兰,Holland,4.53,52.22,118.51,4.48,438.79,221.81,79.05,76.5
里昂,leon,法国,France,4.84,45.76,117.57,7.26,438.97,255.49,78.52,41.89
日内瓦,Geneva,瑞士,Switzerland,6.13,46.2,116.31,7.86,440.27,154.88,17.88,82.66
卢森堡,Luxembourg,卢森堡,Luxembourg,6.08,49.37,116.64,6.24,440.27,59.53,22.52,88.71
苏黎世,Zurich,瑞士,Switzerland,8.32,47.23,114.21,9.13,442.47,269.78,35.93,137.71
法兰克福,Frankfurt,德国,Germany,8.34,50.02,114.46,8.29,442.54,198.83,15.47,86.71
米兰,Milan,意大利,Italy,9.1,45.28,113.29,10.79,443.23,338.56,35.14,109
汉堡,hamburger,德国,Germany,10,53.33,113.23,10.06,444.29,264.24,31.08,101.29
奥斯陆,Oslo,挪威,Norway,10.41,59.56,113.86,13.17,444.92,251.43,34.26,89.16
慕尼黑,Munich,德国,Germany,11.35,48.08,111.27,11.65,445.52,169.2,33.69,112.5
罗马,Rome,意大利,Italy,12,42,110.21,15.06,446.1,267.23,44.24,117.32
哥本哈根,Copenhagen,丹麦,Denmark,12.53,55.71,111.09,13.14,446.89,197.36,21.26,87.22
柏林,Berlin,德国,Germany,13.25,52.3,109.87,13.14,447.51,191.55,32.82,64.77
布拉格,Bragg,西班牙,Spain,14.25,50.05,108.6,14.16,448.45,222.92,25.61,99.65
维也纳,Vienna,奥地利,Austria,16.37,48.2,106.29,16.51,450.54,274.37,26.74,92
斯德哥尔摩,Stockholm,瑞典,Sweden,18.03,59.19,106.32,19.54,452.52,182.96,29.72,93.45
布达佩斯,Budapest,匈牙利,Hungary,19.04,47.49,103.56,19.27,453.2,204.78,32.78,106.94
华沙,Warsaw,波兰,Poland,21,52.13,102.17,20.87,455.25,271.23,42.93,124.9
雅典,Athens,希腊,Greece,23.44,38.02,98.68,26.81,457.55,209.94,53.37,127.2
开普敦,CapeDown,南非,South Africa,18,-34,126.32,87.15,458.18,289.62,90.58,159.35
赫尔辛基,Helsinki,芬兰,Finland,25,60,99.69,26.33,459.52,206.33,34.3,96.17
伊斯坦布尔,Istanbul,土耳其,Turkey,28.58,41.02,93.61,30.23,462.68,229.87,71.87,138.8
圣彼得堡,StPetersburg,俄罗斯,Russia,29.5,59.5,95.19,30.47,463.99,162.51,45.62,107.79
开罗,Cairo,埃及,Egypt,31,30,91.43,37.49,465.22,293,40,122
约翰内斯堡,Johannesburg,南非,South Africa,27.54,-26.08,113.98,82.08,466.41,86.12,173.79,147.75
安卡拉,Ankara,土耳其,Turkey,32.85,39.93,89.3,34.62,466.95,188.62,6.54,78.94
特拉维夫,TelAviv,以色列,Israel,34.48,32.5,87.78,39.14,468.65,351.01,59.82,139.11
内罗毕,Nairobi,肯尼亚,Kenya,36,1,93.54,61.77,471.75,331.33,132.94,204.42
莫斯科,Moscow,俄罗斯,Russia,37.5,55.5,86.51,37.59,471.84,171.63,45.71,113.96
利雅得,Riyadh,沙特,Saudi Arabia,47,25,76.16,53.73,481.35,219,94,160
多哈,Doha,卡塔尔,Qatar,51.56,25.26,71.62,57.63,485.9,243,126,253
阿布扎比,AbuDhabi,阿拉伯联合酋长国,The United Arab Emirates,54.22,24.28,69.18,60.45,488.59,180.24,200.15,101
迪拜,Dubai,阿拉伯联合酋长国,The United Arab Emirates,55.17,25.15,68.08,60.92,489.51,296.82,124.09,145.47
孟买,Bombay,印度,India,73,19,52.5,79.69,507.55,141.77,119.98,190.58
新德里,NewDelhi,印度,India,77.13,28.37,45.91,80.32,511.37,211.27,146.61,259.19
班加罗尔,Bangalore,印度,India,77.59,12.97,50.85,86.41,512.43,302.12,138.02,248.3
曼谷,Bangkok,泰国,Thailand,100.31,13.45,32.48,107.07,535.09,248,202.82,244.12
成都,Chengdu,中国,China,103,31,20.2,104.83,537.18,40.92,261.87,255.25
吉隆坡,KualaLumpur,马来西亚,Malaysia,102,3,39.96,112.72,537.4,185.32,175.74,230.41
新加坡,Singapore,新加坡,Singapore,103.51,1.18,40.83,114.87,539.04,81.17,198.19,239.29
雅加达,Jakarta,印度尼西亚,Indonesia,106.83,-6.17,46.29,121.18,542.93,229.05,186.23,249.4
广州,Guangzhou,中国,China,113,23,17.15,116.34,547.38,41.92,76.55,230.93
香港,HongKong,中国,China,113.52,22.1,17.66,117.07,547.93,49,194.89,208.83
深圳,Shenzhen,中国,China,114,22.3,17.25,117.49,548.4,45.37,211.82,241.08
北京,Beijing,中国,China,116,40,6.6,116.4,550.1,19.14,136.18,229.72
南京,Nanjing,中国,China,118.22,32,6.76,119.64,552.38,24.52,233.56,209.29
杭州,Hangzhou,中国,China,120.02,30.3,7.52,121.7,554.21,23.2,248.79,215.61
珀斯,Perth,澳大利亚,Australia,115.52,-31.52,69.35,142.02,554.31,325.97,260.46,254.07
上海,Shanghai,中国,China,120.52,30.4,7.3,122.17,554.71,21.97,192.3,205.49
苏州,Suzhou,中国,China,120.61,31.29,6.41,122.11,554.79,27.5,245.51,209.38
马尼拉,Manila,菲律宾,Philippine Islands,121,15,22.55,126.18,555.68,232.06,227.73,233.98
台北,Taipei,中国台湾,China Taiwan,121.5,25.05,12.49,124.16,555.81,62.37,220.93,8.44
首尔,Seoul,韩国,South Korea,126.58,37.33,4.46,127.2,560.69,47.17,252.46,193.41
釜山,Busan,韩国,South Korea,129.02,35.06,7.33,129.89,563.15,63.81,263.64,189.62
大阪,Osaka,日本,Japan,135,34,13.35,135.96,569.14,70.99,234.59,171.47
名古屋,Nagoya,日本,Japan,136.55,35.1,14.63,137.36,570.67,123.41,245.13,177.69
东京,Tokyo,日本,Japan,139.69,35.69,17.67,140.41,573.81,58.85,237.76,172.23
墨尔本,Melbourne,澳大利亚,Australia,145,-38,78.91,170.16,584.39,377.64,284.97,222.59
悉尼,Sydney,澳大利亚,Australia,150.53,-33.55,76.54,172.67,589.29,170.4,287.85,217.52
布里斯班,Brisbane,澳大利亚,Australia,153,-27.28,71.78,171.87,590.99,407.53,289.42,224.06
